,0,1,2,3,4
297,0,297,-25.34,24.92,-8.2
300,0,300,-27.4,28.84,-5.91
303,0,303,-33.42,30.25,-10.97
306,0,306,-34.1,29.89,-13.79
309,0,309,-42.87,27.11,-16.49
312,0,312,-46.1,22.81,-14.44
315,0,315,-53.11,11.13,-13.01
318,0,318,-51.68,0.5,-16.51
321,0,321,-45.44,-7.93,-22.27
324,0,324,-45.2,-10.76,-15.12
327,0,327,-35.76,-16.29,-16.68
330,0,330,-35.16,-15.81,-15.46
333,0,333,-31.96,-15.61,-14.85
336,0,336,-33.0,-12.75,-12.84
339,0,339,-33.5,-12.25,-6.39
342,0,342,-35.25,-7.93,-6.52
345,0,345,-33.6,-3.96,-12.59
348,0,348,-32.15,-2.09,-8.43
351,0,351,-35.08,1.01,-8.22
354,0,354,-33.96,1.82,-10.54
357,0,357,-33.1,4.25,-17.12
360,0,360,-33.03,6.22,-12.98
363,0,363,-35.08,4.91,-17.15
366,0,366,-31.69,2.39,-17.18
369,0,369,-35.07,5.39,-21.57
372,0,372,-32.7,12.06,-21.31
375,0,375,-33.11,14.06,-24.1
378,0,378,-33.46,18.46,-29.41
381,0,381,-30.29,12.71,-41.85
384,0,384,-35.53,11.88,-34.35
387,0,387,-34.32,-3.52,-33.69
390,0,390,-40.39,-11.1,-21.63
1173,3,0,6.94,-6.23,-41.66
1176,3,3,8.55,-5.47,-36.08
1179,3,6,5.86,6.15,-29.63
1182,3,9,-2.51,7.96,-23.48
1185,3,12,-7.82,7.5,-17.85
1188,3,15,-9.58,9.15,-13.48
1191,3,18,-15.3,9.44,-10.41
1194,3,21,-17.6,7.26,-7.89
1197,3,24,-16.31,6.3,-5.94
1200,3,27,-15.11,6.54,-6.64
1203,3,30,-13.64,10.5,-6.69
1206,3,33,-14.15,10.91,-9.03
1209,3,36,-14.01,11.75,-9.38
1212,3,39,-11.16,11.92,-9.8
1215,3,42,-11.29,16.11,-7.25
1218,3,45,-15.17,19.54,-5.24
1221,3,48,-17.54,21.1,-5.76
1224,3,51,-20.51,22.28,-10.15
1227,3,54,-17.01,25.94,-14.19
1230,3,57,-17.47,29.77,-17.64
1233,3,60,-22.93,29.8,-21.44
1236,3,63,-27.18,23.96,-28.39
1239,3,66,-29.17,18.19,-25.61
1242,3,69,-31.52,17.68,-26.04
1245,3,72,-36.06,17.86,-23.17
1248,3,75,-40.31,13.28,-26.12
1251,3,78,-43.4,15.09,-25.09
1254,3,81,-46.37,11.11,-23.16
1257,3,84,-45.74,7.72,-19.56
1260,3,87,-44.31,8.66,-19.13
1263,3,90,-45.15,12.75,-17.01
1266,3,93,-44.23,14.56,-17.04
1269,3,96,-42.7,16.39,-12.38
1272,3,99,-37.03,17.6,-17.75
1275,3,102,-37.8,19.47,-14.95
1278,3,105,-35.45,19.58,-15.12
1281,3,108,-34.71,22.41,-16.42
1284,3,111,-30.75,19.71,-20.76
1287,3,114,-31.16,19.79,-19.07
1290,3,117,-24.32,17.47,-18.28
1293,3,120,-22.4,16.67,-20.14
1296,3,123,-21.1,12.77,-23.15
1299,3,126,-17.79,9.54,-26.28
1302,3,129,-16.29,8.98,-25.42
1305,3,132,-16.4,7.27,-25.49
1308,3,135,-14.59,-1.71,-28.87
1311,3,138,-15.4,-2.53,-25.49
1314,3,141,-13.45,2.49,-26.66
1317,3,144,-18.21,3.66,-22.77
1320,3,147,-18.64,2.22,-24.44
1323,3,150,-25.67,3.88,-19.53
1326,3,153,-25.26,11.7,-22.3
1329,3,156,-33.01,15.04,-18.81
1332,3,159,-33.79,18.72,-22.86
1335,3,162,-41.59,20.74,-18.57
1338,3,165,-42.58,14.77,-19.19
1341,3,168,-34.26,15.5,-20.91
1344,3,171,-21.88,15.18,-32.69
1347,3,174,-22.44,18.83,-33.2
1350,3,177,-19.01,20.27,-33.35
1353,3,180,-13.03,19.99,-36.03
1356,3,183,-11.82,16.38,-38.47
1359,3,186,-10.9,11.95,-38.95
1362,3,189,-5.95,20.12,-34.82
1365,3,192,-10.02,12.94,-37.41
1368,3,195,-9.24,9.91,-38.27
1371,3,198,-11.87,7.37,-37.12
1374,3,201,-11.33,6.42,-36.95
1377,3,204,-18.36,8.52,-34.03
1380,3,207,-18.48,7.54,-35.39
1383,3,210,-22.6,4.44,-33.28
1386,3,213,-14.07,10.3,-36.47
1389,3,216,-25.34,10.24,-31.86
1392,3,219,-29.34,6.96,-33.32
1395,3,222,-28.67,9.57,-35.97
1398,3,225,-26.09,11.97,-39.24
1401,3,228,-32.06,14.76,-37.37
1404,3,231,-37.87,10.01,-36.17
1407,3,234,-42.77,9.0,-38.52
1410,3,237,-37.38,2.52,-47.55
1413,3,240,-40.96,2.3,-39.94
1416,3,243,-32.66,-7.07,-41.55
1419,3,246,-28.88,-6.56,-41.72
1422,3,249,-19.9,-6.67,-43.75
1425,3,252,-20.5,-3.0,-40.06
1428,3,255,-21.78,-6.99,-31.22
1431,3,258,-16.29,-6.67,-27.82
1434,3,261,-12.88,-3.42,-24.29
1437,3,264,-14.76,1.85,-20.7
1440,3,267,-13.7,4.95,-20.86
1443,3,270,-12.5,5.25,-19.5
1446,3,273,-11.56,6.0,-20.53
1449,3,276,-13.83,7.03,-17.0
1452,3,279,-13.79,7.72,-16.15
1455,3,282,-15.0,5.78,-14.0
1458,3,285,-15.07,6.62,-9.46
1461,3,288,-18.35,10.1,-4.92
1464,3,291,-19.38,13.49,-3.77
1467,3,294,-22.19,18.15,-2.1
1470,3,297,-22.46,22.9,-9.18
1473,3,300,-26.14,26.88,-6.92
1476,3,303,-29.97,28.99,-10.64
1479,3,306,-30.72,27.01,-16.22
1482,3,309,-35.08,24.24,-20.75
1485,3,312,-37.91,20.81,-16.78
1488,3,315,-41.19,12.01,-18.09
1491,3,318,-41.33,2.92,-18.87
1494,3,321,-36.44,-4.45,-24.52
1497,3,324,-36.73,-7.57,-18.88
1500,3,327,-31.25,-12.13,-19.7
1503,3,330,-29.42,-13.82,-18.19
1506,3,333,-26.54,-13.78,-18.65
1509,3,336,-27.73,-12.15,-14.87
1512,3,339,-27.44,-11.89,-9.24
1515,3,342,-28.87,-8.92,-6.94
1518,3,345,-27.69,-4.67,-10.91
1521,3,348,-27.26,-1.51,-8.19
1524,3,351,-28.7,1.1,-8.58
1527,3,354,-27.54,2.11,-10.2
1530,3,357,-26.15,4.27,-16.67
1533,3,360,-27.63,6.9,-13.78
1536,3,363,-28.44,4.69,-18.73
1539,3,366,-27.58,2.93,-20.34
1542,3,369,-27.34,5.72,-24.11
1545,3,372,-29.98,9.41,-21.52
1548,3,375,-29.04,13.46,-25.35
1551,3,378,-30.77,16.78,-28.09
1554,3,381,-26.54,13.64,-40.7
1557,3,384,-33.91,10.84,-36.68
1560,3,387,-34.14,-1.22,-36.74
1563,3,390,-38.43,-5.81,-30.47
2346,6,0,7.3,-6.38,-38.57
2349,6,3,3.85,-2.14,-30.6
2352,6,6,-2.39,2.87,-22.33
2355,6,9,-6.75,5.06,-17.65
2358,6,12,-10.92,5.46,-13.72
2361,6,15,-13.64,5.4,-9.12
2364,6,18,-14.93,8.44,-11.08
2367,6,21,-14.58,7.79,-9.36
2370,6,24,-14.88,9.81,-6.61
2373,6,27,-13.74,9.31,-6.06
2376,6,30,-13.91,14.22,-7.5
2379,6,33,-12.94,12.54,-10.03
2382,6,36,-14.79,14.77,-7.65
2385,6,39,-13.92,16.08,-9.45
2388,6,42,-14.75,18.37,-5.44
2391,6,45,-15.57,22.38,-10.39
2394,6,48,-15.01,23.43,-9.1
2397,6,51,-22.43,28.01,-15.23
2400,6,54,-21.39,27.18,-25.68
2403,6,57,-19.13,26.56,-26.08
2406,6,60,-25.16,27.94,-26.35
2409,6,63,-30.29,19.4,-31.01
2412,6,66,-31.83,10.81,-28.95
2415,6,69,-32.9,13.21,-31.86
2418,6,72,-36.63,15.21,-28.98
2421,6,75,-43.77,9.1,-26.34
2424,6,78,-42.75,10.08,-28.7
2427,6,81,-41.01,11.0,-28.23
2430,6,84,-46.19,12.44,-20.99
2433,6,87,-46.92,8.96,-20.06
2436,6,90,-44.15,13.34,-19.13
2439,6,93,-42.03,17.57,-18.5
2442,6,96,-37.79,21.61,-9.38
2445,6,99,-32.96,23.02,-15.18
2448,6,102,-30.92,23.05,-20.4
2451,6,105,-28.56,22.1,-20.92
2454,6,108,-28.1,27.75,-19.47
2457,6,111,-21.91,22.49,-20.18
2460,6,114,-22.0,20.51,-22.31
2463,6,117,-15.6,21.92,-22.68
2466,6,120,-16.11,22.57,-20.38
2469,6,123,-17.76,15.89,-25.66
2472,6,126,-10.66,9.69,-33.85
2475,6,129,-9.58,11.12,-32.33
2478,6,132,-11.64,8.14,-30.73
2481,6,135,-14.42,-0.38,-33.3
2484,6,138,-12.33,-6.22,-29.43
2487,6,141,-11.22,4.44,-32.53
2490,6,144,-17.53,9.69,-27.32
2493,6,147,-18.89,5.1,-27.48
2496,6,150,-26.55,5.95,-23.74
2499,6,153,-21.26,15.16,-26.91
2502,6,156,-29.66,18.1,-19.57
2505,6,159,-26.51,18.15,-14.1
2508,6,162,-24.41,19.45,-15.69
2511,6,165,-22.14,22.55,-26.71
2514,6,168,-21.56,28.47,-18.47
2517,6,171,-10.97,22.95,-36.0
2520,6,174,-14.32,21.9,-40.92
2523,6,177,-13.53,24.66,-40.49
2526,6,180,-7.57,25.0,-40.98
2529,6,183,-9.23,17.75,-43.8
2532,6,186,-6.89,7.86,-46.91
2535,6,189,1.46,23.67,-38.18
2538,6,192,-7.61,16.85,-41.59
2541,6,195,-6.57,12.44,-42.98
2544,6,198,-8.48,3.11,-42.67
2547,6,201,-8.18,7.23,-39.87
2550,6,204,-13.46,9.66,-37.46
2553,6,207,-14.86,8.02,-37.35
2556,6,210,-16.77,4.31,-33.97
2559,6,213,-15.38,7.54,-33.91
2562,6,216,-22.39,10.74,-30.2
2565,6,219,-24.59,8.31,-32.49
2568,6,222,-24.81,8.85,-35.95
2571,6,225,-20.95,14.19,-37.08
2574,6,228,-29.47,13.55,-35.27
2577,6,231,-31.58,5.03,-34.56
2580,6,234,-32.21,4.52,-36.17
2583,6,237,-26.26,5.45,-40.68
2586,6,240,-29.25,9.98,-36.48
2589,6,243,-24.46,-1.72,-40.62
2592,6,246,-22.72,-3.48,-41.24
2595,6,249,-15.11,1.05,-43.39
2598,6,252,-17.37,-0.97,-38.69
2601,6,255,-18.97,-5.17,-30.85
2604,6,258,-12.52,-4.82,-28.55
2607,6,261,-10.75,-0.73,-26.12
2610,6,264,-12.46,3.43,-23.18
2613,6,267,-11.12,5.34,-23.21
2616,6,270,-10.23,7.87,-23.84
2619,6,273,-8.06,5.68,-24.29
2622,6,276,-12.97,8.42,-20.75
2625,6,279,-10.57,7.97,-19.55
2628,6,282,-12.86,4.27,-16.6
2631,6,285,-12.99,6.25,-12.69
2634,6,288,-16.27,8.65,-7.2
2637,6,291,-18.34,12.9,-5.05
2640,6,294,-20.61,16.05,-2.53
2643,6,297,-19.59,20.88,-10.15
2646,6,300,-24.88,24.91,-7.94
2649,6,303,-26.53,27.73,-10.31
2652,6,306,-27.34,24.13,-18.65
2655,6,309,-27.29,21.37,-25.0
2658,6,312,-29.72,18.82,-19.11
2661,6,315,-29.26,12.89,-23.16
2664,6,318,-30.99,5.33,-21.23
2667,6,321,-27.45,-0.96,-26.78
2670,6,324,-28.27,-4.39,-22.64
2673,6,327,-26.73,-7.96,-22.72
2676,6,330,-23.67,-11.84,-20.91
2679,6,333,-21.12,-11.96,-22.46
2682,6,336,-22.46,-11.55,-16.9
2685,6,339,-21.37,-11.53,-12.08
2688,6,342,-22.49,-9.91,-7.37
2691,6,345,-21.79,-5.37,-9.23
2694,6,348,-22.38,-0.93,-7.94
2697,6,351,-22.31,1.19,-8.95
2700,6,354,-21.13,2.4,-9.86
2703,6,357,-19.19,4.29,-16.21
2706,6,360,-22.23,7.59,-14.58
2709,6,363,-21.79,4.46,-20.3
2712,6,366,-23.47,3.48,-23.49
2715,6,369,-19.61,6.04,-26.66
2718,6,372,-27.25,6.76,-21.73
2721,6,375,-24.97,12.86,-26.6
2724,6,378,-28.09,15.11,-26.77
2727,6,381,-22.79,14.57,-39.55
2730,6,384,-32.3,9.8,-39.0
2733,6,387,-33.97,1.09,-39.79
2736,6,390,-36.47,-0.52,-39.31
3519,9,0,4.74,-5.85,-42.33
3522,9,3,5.1,-5.39,-34.7
3525,9,6,-2.94,-1.38,-28.4
3528,9,9,-9.8,-4.55,-19.68
3531,9,12,-12.32,-0.67,-16.33
3534,9,15,-12.73,0.44,-10.65
3537,9,18,-16.53,3.95,-8.7
3540,9,21,-16.05,4.18,-7.11
3543,9,24,-16.87,6.93,-5.25
3546,9,27,-15.38,8.36,-5.75
3549,9,30,-15.57,11.88,-5.73
3552,9,33,-14.72,11.62,-6.79
3555,9,36,-16.58,13.53,-8.53
3558,9,39,-14.37,14.31,-8.64
3561,9,42,-16.22,15.55,-4.75
3564,9,45,-17.41,18.82,-8.48
3567,9,48,-15.78,19.57,-10.16
3570,9,51,-19.02,24.72,-13.06
3573,9,54,-21.35,25.08,-17.84
3576,9,57,-22.65,26.01,-21.7
3579,9,60,-25.06,24.61,-26.61
3582,9,63,-29.06,21.74,-28.44
3585,9,66,-31.44,13.61,-28.12
3588,9,69,-34.23,15.16,-31.95
3591,9,72,-36.81,14.08,-30.39
3594,9,75,-40.39,8.58,-32.39
3597,9,78,-41.19,8.0,-30.67
3600,9,81,-46.81,6.33,-28.85
3603,9,84,-49.34,7.64,-24.79
3606,9,87,-49.46,8.71,-28.56
3609,9,90,-49.19,12.51,-23.16
3612,9,93,-49.78,12.65,-19.56
3615,9,96,-43.25,19.05,-16.36
3618,9,99,-36.99,26.25,-21.06
3621,9,102,-34.72,29.77,-20.95
3624,9,105,-30.49,30.26,-24.27
3627,9,108,-24.45,32.86,-24.19
3630,9,111,-19.44,28.99,-26.38
3633,9,114,-18.04,27.92,-25.53
3636,9,117,-13.06,27.55,-24.75
3639,9,120,-11.59,25.09,-22.33
3642,9,123,-9.78,22.91,-25.99
3645,9,126,-5.21,18.64,-28.63
3648,9,129,-5.34,14.02,-30.79
3651,9,132,-6.64,12.06,-30.96
3654,9,135,-8.43,0.5,-34.58
3657,9,138,-11.48,-4.73,-33.4
3660,9,141,-12.39,-2.57,-37.62
3663,9,144,-17.68,-2.54,-32.83
3666,9,147,-22.08,-0.87,-32.99
3669,9,150,-27.08,4.52,-30.2
3672,9,153,-26.55,8.16,-28.54
3675,9,156,-28.96,11.85,-22.63
3678,9,159,-25.29,15.28,-20.04
3681,9,162,-27.4,20.88,-17.53
3684,9,165,-24.43,26.2,-24.01
3687,9,168,-22.01,27.72,-21.38
3690,9,171,-14.18,26.97,-33.94
3693,9,174,-18.5,27.28,-36.96
3696,9,177,-18.17,26.65,-39.51
3699,9,180,-15.29,24.02,-41.62
3702,9,183,-10.97,22.24,-46.8
3705,9,186,-13.3,19.04,-46.83
3708,9,189,-10.63,22.33,-44.77
3711,9,192,-12.76,15.13,-47.98
3714,9,195,-9.6,12.03,-48.7
3717,9,198,-13.77,10.13,-47.63
3720,9,201,-15.22,7.45,-45.14
3723,9,204,-14.77,5.46,-45.46
3726,9,207,-13.18,10.24,-43.24
3729,9,210,-17.63,7.23,-39.18
3732,9,213,-16.75,9.52,-38.07
3735,9,216,-21.11,7.02,-33.65
3738,9,219,-20.49,6.86,-35.23
3741,9,222,-20.34,12.99,-35.75
3744,9,225,-16.99,15.09,-37.05
3747,9,228,-24.35,13.5,-36.72
3750,9,231,-24.88,7.4,-37.52
3753,9,234,-26.06,10.18,-36.87
3756,9,237,-25.22,8.44,-38.31
3759,9,240,-26.94,9.39,-35.79
3762,9,243,-17.56,5.67,-40.18
3765,9,246,-24.46,3.85,-40.5
3768,9,249,-22.97,4.65,-41.0
3771,9,252,-21.6,3.94,-40.98
3774,9,255,-18.92,-4.11,-36.94
3777,9,258,-18.46,-0.43,-33.68
3780,9,261,-17.98,1.63,-31.54
3783,9,264,-15.6,0.47,-27.26
3786,9,267,-11.84,4.07,-27.84
3789,9,270,-14.45,7.0,-26.08
3792,9,273,-13.93,5.65,-25.11
3795,9,276,-15.88,8.31,-23.25
3798,9,279,-11.78,7.55,-24.16
3801,9,282,-16.43,5.29,-19.36
3804,9,285,-13.6,5.86,-17.13
3807,9,288,-16.38,4.92,-11.76
3810,9,291,-17.3,8.14,-9.63
3813,9,294,-18.87,10.45,-4.94
3816,9,297,-19.26,14.99,-6.28
3819,9,300,-23.36,19.85,-6.22
3822,9,303,-24.0,23.64,-8.33
3825,9,306,-26.08,23.03,-10.92
3828,9,309,-27.02,21.33,-17.63
3831,9,312,-27.52,21.82,-17.96
3834,9,315,-27.09,17.0,-24.32
3837,9,318,-29.73,11.96,-23.57
3840,9,321,-27.91,5.1,-28.27
3843,9,324,-26.79,-0.31,-27.04
3846,9,327,-23.97,-2.12,-27.98
3849,9,330,-24.31,-5.79,-24.58
3852,9,333,-21.85,-7.98,-24.83
3855,9,336,-21.7,-10.9,-19.44
3858,9,339,-19.13,-11.56,-16.37
3861,9,342,-21.09,-10.56,-11.13
3864,9,345,-20.04,-8.01,-8.67
3867,9,348,-20.61,-3.38,-8.67
3870,9,351,-20.72,0.11,-9.38
3873,9,354,-20.51,2.05,-9.47
3876,9,357,-19.48,4.48,-14.28
3879,9,360,-21.07,6.01,-13.85
3882,9,363,-19.02,5.39,-21.16
3885,9,366,-23.06,5.67,-20.94
3888,9,369,-21.17,7.37,-24.98
3891,9,372,-25.52,4.1,-22.68
3894,9,375,-20.43,9.74,-28.35
3897,9,378,-28.22,9.36,-24.1
3900,9,381,-27.31,10.0,-29.47
3903,9,384,-32.26,8.99,-31.56
3906,9,387,-32.6,4.52,-35.0
3909,9,390,-36.95,4.44,-35.08
4692,12,0,2.19,-5.32,-46.08
4695,12,3,6.35,-8.64,-38.81
4698,12,6,-3.48,-5.63,-34.48
4701,12,9,-12.84,-14.16,-21.72
4704,12,12,-13.73,-6.8,-18.93
4707,12,15,-11.81,-4.52,-12.18
4710,12,18,-18.12,-0.55,-6.32
4713,12,21,-17.52,0.57,-4.87
4716,12,24,-18.86,4.04,-3.89
4719,12,27,-17.03,7.41,-5.44
4722,12,30,-17.23,9.53,-3.97
4725,12,33,-16.51,10.7,-3.56
4728,12,36,-18.37,12.29,-9.41
4731,12,39,-14.82,12.54,-7.83
4734,12,42,-17.69,12.74,-4.07
4737,12,45,-19.24,15.27,-6.57
4740,12,48,-16.55,15.71,-11.22
4743,12,51,-15.61,21.43,-10.88
4746,12,54,-21.31,22.98,-10.01
4749,12,57,-26.17,25.47,-17.32
4752,12,60,-24.95,21.28,-26.87
4755,12,63,-27.84,24.07,-25.86
4758,12,66,-31.05,16.41,-27.3
4761,12,69,-35.57,17.1,-32.04
4764,12,72,-36.98,12.95,-31.8
4767,12,75,-37.01,8.06,-38.43
4770,12,78,-39.63,5.93,-32.64
4773,12,81,-52.62,1.67,-29.47
4776,12,84,-52.5,2.84,-28.58
4779,12,87,-52.0,8.45,-37.06
4782,12,90,-54.23,11.67,-27.19
4785,12,93,-57.53,7.73,-20.61
4788,12,96,-48.71,16.5,-23.33
4791,12,99,-41.02,29.48,-26.94
4794,12,102,-38.52,36.48,-21.51
4797,12,105,-32.43,38.41,-27.62
4800,12,108,-20.79,37.96,-28.91
4803,12,111,-16.98,35.48,-32.58
4806,12,114,-14.08,35.33,-28.74
4809,12,117,-10.52,33.17,-26.81
4812,12,120,-7.06,27.61,-24.28
4815,12,123,-1.8,29.93,-26.31
4818,12,126,0.24,27.59,-23.41
4821,12,129,-1.09,16.92,-29.25
4824,12,132,-1.65,15.98,-31.19
4827,12,135,-2.43,1.37,-35.87
4830,12,138,-10.62,-3.24,-37.37
4833,12,141,-13.56,-9.58,-42.72
4836,12,144,-17.83,-14.76,-38.33
4839,12,147,-25.28,-6.83,-38.5
4842,12,150,-27.61,3.09,-36.67
4845,12,153,-31.85,1.15,-30.17
4848,12,156,-28.26,5.6,-25.69
4851,12,159,-24.06,12.41,-25.98
4854,12,162,-30.39,22.31,-19.36
4857,12,165,-26.72,29.85,-21.31
4860,12,168,-22.45,26.97,-24.3
4863,12,171,-17.39,30.99,-31.88
4866,12,174,-22.69,32.66,-33.0
4869,12,177,-22.81,28.65,-38.52
4872,12,180,-23.02,23.05,-42.26
4875,12,183,-12.72,26.73,-49.8
4878,12,186,-19.71,30.22,-46.75
4881,12,189,-22.72,21.0,-51.36
4884,12,192,-17.91,13.41,-54.37
4887,12,195,-12.63,11.62,-54.42
4890,12,198,-19.06,17.15,-52.59
4893,12,201,-22.27,7.67,-50.42
4896,12,204,-16.09,1.25,-53.45
4899,12,207,-11.51,12.46,-49.12
4902,12,210,-18.5,10.16,-44.39
4905,12,213,-18.12,11.5,-42.23
4908,12,216,-19.83,3.3,-37.1
4911,12,219,-16.39,5.4,-37.97
4914,12,222,-15.87,17.13,-35.55
4917,12,225,-13.02,16.0,-37.01
4920,12,228,-19.22,13.46,-38.16
4923,12,231,-18.18,9.76,-40.49
4926,12,234,-19.92,15.85,-37.57
4929,12,237,-24.18,11.43,-35.95
4932,12,240,-24.64,8.8,-35.11
4935,12,243,-10.65,13.05,-39.73
4938,12,246,-26.2,11.19,-39.77
4941,12,249,-30.82,8.25,-38.61
4944,12,252,-25.84,8.85,-43.27
4947,12,255,-18.87,-3.04,-43.03
4950,12,258,-24.39,3.97,-38.81
4953,12,261,-25.21,4.0,-36.97
4956,12,264,-18.75,-2.48,-31.33
4959,12,267,-12.56,2.8,-32.47
4962,12,270,-18.66,6.13,-28.31
4965,12,273,-19.8,5.63,-25.94
4968,12,276,-18.78,8.2,-25.75
4971,12,279,-12.99,7.13,-28.77
4974,12,282,-19.99,6.31,-22.11
4977,12,285,-14.21,5.47,-21.58
4980,12,288,-16.49,1.19,-16.32
4983,12,291,-16.26,3.37,-14.22
4986,12,294,-17.12,4.85,-7.35
4989,12,297,-18.93,9.1,-2.41
4992,12,300,-21.85,14.78,-4.5
4995,12,303,-21.48,19.55,-6.35
4998,12,306,-24.83,21.93,-3.19
5001,12,309,-26.74,21.29,-10.26
5004,12,312,-25.32,24.82,-16.8
5007,12,315,-24.92,21.1,-25.47
5010,12,318,-28.47,18.59,-25.91
5013,12,321,-28.37,11.17,-29.76
5016,12,324,-25.3,3.77,-31.43
5019,12,327,-21.21,3.73,-33.24
5022,12,330,-24.94,0.27,-28.25
5025,12,333,-22.58,-4.01,-27.19
5028,12,336,-20.94,-10.25,-21.97
5031,12,339,-16.9,-11.58,-20.67
5034,12,342,-19.7,-11.2,-14.89
5037,12,345,-18.28,-10.64,-8.11
5040,12,348,-18.84,-5.84,-9.39
5043,12,351,-19.13,-0.97,-9.81
5046,12,354,-19.89,1.7,-9.08
5049,12,357,-19.77,4.66,-12.34
5052,12,360,-19.92,4.42,-13.13
5055,12,363,-16.25,6.32,-22.02
5058,12,366,-22.64,7.86,-18.39
5061,12,369,-22.74,8.69,-23.31
5064,12,372,-23.79,1.43,-23.63
5067,12,375,-15.89,6.62,-30.1
5070,12,378,-28.36,3.62,-21.43
5073,12,381,-31.84,5.42,-19.39
5076,12,384,-32.22,8.18,-24.11
5079,12,387,-31.24,7.95,-30.22
5082,12,390,-37.43,9.41,-30.86
5675,15,6,-14.34,-8.7,-25.79
5678,15,9,-18.15,-11.65,-19.32
5681,15,12,-18.71,-6.87,-15.31
5684,15,15,-17.94,-4.08,-8.71
5687,15,18,-20.86,-0.8,-4.52
5690,15,21,-21.15,2.38,-4.77
5693,15,24,-21.95,5.93,-2.32
5696,15,27,-20.64,9.6,-3.31
5699,15,30,-20.19,10.94,-4.81
5702,15,33,-18.76,12.54,-7.14
5705,15,36,-20.43,13.71,-8.09
5708,15,39,-18.42,13.62,-7.09
